R1,R2,R3,Bases,Outs,Balls,Strikes,RunExp,IncStrike,IncBall,CallSpread
0,0,0,0,0,0,0,0.5069866920152091,-0.05274767260765034,0.039439092751611615,0.09218676535926196
0,0,1,3,0,0,0,1.3917525773195876,-0.05841924398625431,0.04684391390848264,0.10526315789473695
0,1,0,2,0,0,0,1.1716003700277522,-0.09475307938735811,0.031579841986381973,0.12633292137374008
0,1,1,23,0,0,0,2.0070052539404553,-0.0627821463707341,0.11953795593608785,0.18232010230682194
1,0,0,1,0,0,0,0.9167142507545477,-0.07004631109443693,0.05852770288038367,0.1285740139748206
1,0,1,13,0,0,0,1.7774509803921568,-0.07831678125795771,0.061258697027197995,0.1395754782851557
1,1,0,12,0,0,0,1.5618986529826813,-0.12524706927227403,0.11554889946487124,0.24079596873714526
1,1,1,123,0,0,0,2.341130604288499,-0.1345866370083355,0.16923209001201922,0.30381872702035473
0,0,0,0,0,0,1,0.45423901940755873,-0.04046989562452674,0.023891750312948046,0.06436164593747479
0,0,1,3,0,0,1,1.3333333333333333,0.14239482200647258,0.04444444444444451,-0.09795037756202807
0,1,0,2,0,0,1,1.076847290640394,-0.047837051732544156,0.013722270517402269,0.061559322249946424
0,1,1,23,0,0,1,1.9442231075697212,-0.2752090230626789,0.07238818811134218,0.3475972111740211
1,0,0,1,0,0,1,0.8466679396601108,-0.1107150909371245,0.05063080331929548,0.16134589425641999
1,0,1,13,0,0,1,1.699134199134199,-0.1737104703206398,0.0756405756405758,0.2493510459612156
1,1,0,12,0,0,1,1.4366515837104072,-0.16959788269444198,0.12217194570135748,0.29176982839579946
1,1,1,123,0,0,1,2.2065439672801634,-0.06368682442302065,0.06334239635620031,0.12702922077922096
0,0,0,0,0,0,2,0.413769123783032,-0.15676880758305306,0.0024401328409430767,0.15920894042399614
0,0,1,3,0,0,2,1.4757281553398058,-0.4910003996957155,-0.17681511186154486,0.31418528783417066
0,1,0,2,0,0,2,1.02901023890785,-0.3374624891822736,0.05613640253018226,0.3935988917124559
0,1,1,23,0,0,2,1.6690140845070423,-0.3053777208706787,-0.04929577464788726,0.25608194622279146
1,0,0,1,0,0,2,0.7359528487229863,-0.20152661921478954,0.043635223825430614,0.24516184304022015
1,0,1,13,0,0,2,1.5254237288135593,-0.2902579347472416,0.08968418485550544,0.37994211960274704
1,1,0,12,0,0,2,1.2670537010159653,-0.29547355702202815,0.08985237633210108,0.38532593335412924
1,1,1,123,0,0,2,2.142857142857143,-0.5169920909540286,-0.06701444622792918,0.44997764472609947
0,0,0,0,0,1,0,0.5464257847668207,-0.06829501504631391,0.10244412091034605,0.17073913595665996
0,0,1,3,0,1,0,1.4385964912280702,-0.06081871345029244,0.1420486700622523,0.20286738351254474
0,1,0,2,0,1,0,1.2031802120141342,-0.11261065085633781,0.14056978798586584,0.25318043884220365
0,1,1,23,0,1,0,2.126543209876543,-0.10993191419547976,0.2114849591375414,0.32141687333302116
1,0,0,1,0,1,0,0.9752419536349314,-0.07794321065552512,0.11717183946851695,0.19511505012404207
1,0,1,13,0,1,0,1.8387096774193548,-0.0639349026445799,-0.08416422287390013,-0.020229320229320225
1,1,0,12,0,1,0,1.6774475524475525,-0.11862402303578778,0.10397321257976988,0.22259723561555766
1,1,1,123,0,1,0,2.510362694300518,-0.24047633066415441,0.24554281751050544,0.48601914817465985
0,0,0,0,0,1,1,0.4781307697205068,-0.06192151309653171,0.0797273999009594,0.1416489129974911
0,0,1,3,0,1,1,1.3777777777777778,-0.07886473429951679,0.18222222222222229,0.2610869565217391
0,1,0,2,0,1,1,1.0905695611577964,-0.005422919719764163,0.10363333739292835,0.10905625711269251
0,1,1,23,0,1,1,2.0166112956810633,-0.39689298582190835,0.14500486593509843,0.5418978517570068
1,0,0,1,0,1,1,0.8972987429794063,-0.11771067043098937,0.10046662014908536,0.21817729058007473
1,0,1,13,0,1,1,1.7747747747747749,-0.15966686110571016,0.07965560497206048,0.23932246607777063
1,1,0,12,0,1,1,1.5588235294117647,-0.20191745206369838,0.0691852233234651,0.2711026753871635
1,1,1,123,0,1,1,2.2698863636363638,-0.19404366700715014,0.1625460687960687,0.35658973580321884
0,0,0,0,0,1,2,0.41620925662397507,-0.15920894042399614,0.05508757813551651,0.21429651855951265
0,0,1,3,0,1,2,1.298913043478261,-0.31418528783417066,0.17502060581083856,0.4892058936450092
0,1,0,2,0,1,2,1.0851466414380322,-0.3935988917124559,-0.023657968298873566,0.3699409234135823
0,1,1,23,0,1,2,1.619718309859155,-0.25608194622279146,0.2597143142543201,0.5157962604771116
1,0,0,1,0,1,2,0.7795880725484169,-0.24516184304022015,0.11325394354645812,0.3584157865866783
1,0,1,13,0,1,2,1.6151079136690647,-0.37994211960274704,0.1523339467960516,0.5322760663987987
1,1,0,12,0,1,2,1.3569060773480663,-0.38532593335412924,-0.05485829577810053,0.3304676375760287
1,1,1,123,0,1,2,2.0758426966292136,-0.44997764472609947,-0.019565640352157132,0.43041200437394234
0,0,0,0,0,2,0,0.6488699056771667,-0.09101173605570057,0.14552261768731922,0.2365343537430198
0,0,1,3,0,2,0,1.5806451612903225,-0.020645161290322456,0.11500701262272095,0.1356521739130434
0,1,0,2,0,2,0,1.34375,-0.1495471014492753,0.0471129441624365,0.1966600456117118
0,1,1,23,0,2,0,2.3380281690140845,-0.17641200739792273,0.19530516431924871,0.37171717171717145
1,0,0,1,0,2,0,1.0924137931034483,-0.0946484299749567,0.2241480517602834,0.3187964817352401
1,0,1,13,0,2,0,1.7545454545454546,0.0998849252013807,-0.3378787878787879,-0.4377637130801686
1,1,0,12,0,2,0,1.7814207650273224,-0.15341201229209256,0.2837966262770253,0.43720863856911785
1,1,1,123,0,2,0,2.7559055118110236,-0.32347307937859116,0.3461353045155069,0.669608383894098
0,0,0,0,0,2,1,0.5578581696214662,-0.08656133486197459,0.1509345165845032,0.23749585144647778
0,0,1,3,0,2,1,1.56,-0.08606635071090052,0.049195402298850555,0.13526175300975107
0,1,0,2,0,2,1,1.1942028985507247,-0.13271422541156608,0.10857487922705311,0.2412891046386192
0,1,1,23,0,2,1,2.1616161616161618,-0.28218353750268665,0.14364699627857513,0.4258305337812618
1,0,0,1,0,2,1,0.9977653631284916,-0.10492334703361661,0.143192083680019,0.24811543071363562
1,0,1,13,0,2,1,1.8544303797468353,-0.08698851928171902,-0.1526759937819231,-0.06568747450020407
1,1,0,12,0,2,1,1.6280087527352298,-0.325960971165264,0.2921790406920002,0.6181400118572642
1,1,1,123,0,2,1,2.4324324324324325,-0.376155376155376,0.3620881155127731,0.7382434916681491
0,0,0,0,0,2,2,0.4712968347594916,-0.21429651855951265,0.10476163993365417,0.3190581584931668
0,0,1,3,0,2,2,1.4739336492890995,-0.4892058936450092,0.05679260769414074,0.54599850133915
0,1,0,2,0,2,2,1.0614886731391586,-0.3699409234135823,0.16422561257512713,0.5341665359887094
0,1,1,23,0,2,2,1.8794326241134751,-0.5157962604771116,0.19670950786622043,0.712505768343332
1,0,0,1,0,2,2,0.892842016094875,-0.3584157865866783,0.10324255712360575,0.461658343710284
1,0,1,13,0,2,2,1.7674418604651163,-0.5322760663987987,-0.007025193798449569,0.5252508726003491
1,1,0,12,0,2,2,1.3020477815699658,-0.3304676375760287,0.3377216708796018,0.6681893084556305
1,1,1,123,0,2,2,2.0562770562770565,-0.43041200437394234,0.5927295662395,1.0231415706134424
0,0,0,0,0,3,0,0.794392523364486,-0.0855998371585166,0.12232172739006175,0.20792156454857835
0,0,1,3,0,3,0,1.6956521739130435,-0.08645677161419285,0.0817988064791133,0.16825557809330616
0,1,0,2,0,3,0,1.3908629441624365,-0.08808516638465869,0.17103570882024477,0.25912087520490346
0,1,1,23,0,3,0,2.533333333333333,-0.2280701754385963,-0.19220272904483426,0.03586744639376205
1,0,0,1,0,3,0,1.3165618448637317,-0.1756043980552211,0.24533680811894953,0.42094120617417063
1,0,1,13,0,3,0,1.4166666666666667,0.2850877192982455,0.9244639376218322,0.6393762183235867
1,1,0,12,0,3,0,2.0652173913043477,-0.14502959787711767,0.2759132129841513,0.42094281086126895
1,1,1,123,0,3,0,3.1020408163265305,-0.30752026838132496,0.23908978796196845,0.5466100563432934
0,0,0,0,0,3,1,0.7087926862059694,-0.1327342115128236,0.20792156454857835,0.34065577606140196
0,0,1,3,0,3,1,1.6091954022988506,-0.07846914531561033,0.16825557809330616,0.2467247234089165
0,1,0,2,0,3,1,1.3027777777777778,-0.07706349206349206,0.25912087520490346,0.3361843672683955
0,1,1,23,0,3,1,2.305263157894737,-0.22912102591504135,0.03586744639376205,0.2649884723088034
1,0,0,1,0,3,1,1.1409574468085106,-0.14487287359002987,0.42094120617417063,0.5658140797642005
1,0,1,13,0,3,1,1.7017543859649122,0.0586622807017545,0.6393762183235867,0.5807139376218322
1,1,0,12,0,3,1,1.92018779342723,-0.2804183409776624,0.42094281086126895,0.7013611518389313
1,1,1,123,0,3,1,2.7945205479452055,-0.14551392542864905,0.5466100563432934,0.6921239817719425
0,0,0,0,0,3,2,0.57605847469314575,-0.3190581584931668,0.34065577606140196,0.6597139345545688
0,0,1,3,0,3,2,1.5307262569832403,-0.54599850133915,0.2467247234089165,0.7927232247480664
0,1,0,2,0,3,2,1.2257142857142858,-0.5341665359887094,0.3361843672683955,0.870350903257105
0,1,1,23,0,3,2,2.0761421319796955,-0.712505768343332,0.2649884723088034,0.9774942406521354
1,0,0,1,0,3,2,0.9960845732184808,-0.461658343710284,0.5658140797642005,1.0274724234744845
1,0,1,13,0,3,2,1.7604166666666667,-0.5252508726003491,0.5807139376218322,1.1059648102221813
1,1,0,12,0,3,2,1.6397694524495676,-0.6681893084556305,0.7013611518389313,1.3695504602945618
1,1,1,123,0,3,2,2.6490066225165565,-1.0231415706134424,0.6921239817719425,1.7152655523853848
0,0,0,0,1,0,0,0.25700031619997893,-0.032250809873642344,0.022569576273139325,0.05482038614678167
0,0,1,3,1,0,0,0.9847277556440903,-0.04638189098243617,0.012708141791807126,0.059090032774243295
0,1,0,2,1,0,0,0.6915477497255763,-0.07558530841102229,0.028155824816707864,0.10374113322773015
0,1,1,23,1,0,0,1.3636363636363635,-0.1407064273306311,0.05948786760594893,0.20019429493658003
1,0,0,1,1,0,0,0.5344262295081967,-0.07989597206921312,0.0617314651085733,0.14162743717778642
1,0,1,13,1,0,0,1.2351657940663177,-0.14221080385105345,0.08807875799179365,0.2302895618428471
1,1,0,12,1,0,0,0.9715801439939371,-0.10038081966961276,0.1005186214381617,0.20089944110777447
1,1,1,123,1,0,0,1.6258650519031141,-0.18336275199511043,0.1754817494436871,0.35884450143879754
0,0,0,0,1,0,1,0.22474950632633658,-0.048724801104551074,0.024886592654740552,0.07361139375929163
0,0,1,3,1,0,1,0.9383458646616541,-0.1524516581125358,0.038731499235194033,0.19118315734772984
0,1,0,2,1,0,1,0.615962441314554,-0.09948797673465282,0.05964961141614278,0.1591375881507956
0,1,1,23,1,0,1,1.2229299363057324,-0.20478934673657134,0.09195807423445213,0.29674742097102347
1,0,0,1,1,0,1,0.4545302574389836,-0.08275745193123835,0.03700292333904842,0.11976037527028677
1,0,1,13,1,0,1,1.0929549902152642,-0.20429102260392817,-0.01592417789033429,0.18836684471359388
1,1,0,12,1,0,1,0.8711993243243243,-0.17432683033875895,0.05900787305844557,0.23333470339720452
1,1,1,123,1,0,1,1.4425022999080037,-0.28852306115367843,0.16670667293733277,0.4552297340910112
0,0,0,0,1,0,2,0.1760247052217855,-0.08458717062130572,0.041011134686951056,0.12559830530825677
0,0,1,3,1,0,2,0.7858942065491183,-0.3822970842469601,-0.007459937716031151,0.3748371465309289
0,1,0,2,1,0,2,0.5164744645799012,-0.19813246088800657,0.052114004604989494,0.25024646549299606
0,1,1,23,1,0,2,1.018140589569161,-0.42462707605564753,0.18863087355054864,0.6132579496061962
1,0,0,1,1,0,2,0.3717728055077453,-0.15410885869601967,0.050047340319962,0.20415619901598167
1,0,1,13,1,0,2,0.888663967611336,-0.33601496098881944,0.02383603238866394,0.3598509933774834
1,1,0,12,1,0,2,0.6968724939855654,-0.2710841499208469,0.07944329548811879,0.3505274454089657
1,1,1,123,1,0,2,1.1539792387543253,-0.3883116638224452,0.22246122219317788,0.6107728860156231
0,0,0,0,1,1,0,0.27956989247311825,-0.029933793492041116,0.042740077911876784,0.0726738714039179
0,0,1,3,1,1,0,0.9974358974358974,-0.02035853353904926,0.16179977135391144,0.1821583048929607
0,1,0,2,1,1,0,0.7197035745422842,-0.044091521811587375,0.036679404181120034,0.08077092599270741
0,1,1,23,1,1,0,1.4231242312423125,-0.1082362207021279,0.008362649224159746,0.11659886992628765
1,0,0,1,1,1,0,0.59615769461677,-0.104624513838738,0.14342563871656333,0.24805015255530133
1,0,1,13,1,1,0,1.3232445520581113,-0.2462137397331814,0.23437626578575488,0.48059000551893627
1,1,0,12,1,1,0,1.0720987654320988,-0.1418915680493289,0.16437727784456269,0.3062688458938916
1,1,1,123,1,1,0,1.8013468013468013,-0.19213782850146477,0.23581536081536103,0.4279531893168258
0,0,0,0,1,1,1,0.24963609898107714,-0.03260025907234057,0.021785314080556395,0.054385573152896965
0,0,1,3,1,1,1,0.9770773638968482,-0.198643095063761,0.07269639175926046,0.27133948682302145
0,1,0,2,1,1,1,0.6756120527306968,-0.1070235835458061,0.02408988467615869,0.1311134682219648
0,1,1,23,1,1,1,1.3148880105401846,-0.10811654742047483,0.10333628852523602,0.21145283594571085
1,0,0,1,1,1,1,0.49153318077803204,-0.06971303495032477,0.09145341191729855,0.16116644686762333
1,0,1,13,1,1,1,1.07703081232493,-0.16453081232492994,0.08309990662931854,0.24763071895424849
1,1,0,12,1,1,1,0.9302071973827699,-0.15389140790908573,0.1567014934863169,0.31059290139540263
1,1,1,123,1,1,1,1.6092089728453365,-0.23276851189783332,0.24444956374002946,0.4772180756378628
0,0,0,0,1,1,2,0.21703583990873657,-0.12559830530825677,0.012038017066644452,0.13763632237490123
0,0,1,3,1,1,2,0.7784342688330872,-0.3748371465309289,0.059198508101662384,0.4340356546325913
0,1,0,2,1,1,2,0.5685884691848907,-0.25024646549299606,0.05411603832763012,0.3043625038206262
0,1,1,23,1,1,2,1.2067714631197097,-0.6132579496061962,0.004713130717825198,0.6179710803240214
1,0,0,1,1,1,2,0.42182014582770727,-0.20415619901598167,0.06583879209301075,0.2699949911089924
1,0,1,13,1,1,2,0.9125,-0.3598509933774834,0.06418997668997672,0.4240409700674601
1,1,0,12,1,1,2,0.7763157894736842,-0.3505274454089657,0.07821382725105452,0.4287412726600202
1,1,1,123,1,1,2,1.3764404609475032,-0.6107728860156231,0.05357640245890494,0.664349288474528
